tweet_id,text,rating_numerator,rating_denominator,name,jpg_url,img_num,probability_1,probability1_conf,probability1_dog,probability_2,probability2_conf,probability2_dog,probability_3,probability3_conf,probability3_dog,named_dog,retweet_count,favorite_count,display_text_range,tweet_url
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut.       ,13,10,Phineas,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,orange,0.0970486,False,bagel,0.08585110000000001,False,banana,0.07611,False,,6875.0,32866.0,85.0,https://t.co/MgUWQ76dJU
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit.       ",13,10,Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,chihuahua,0.323581,True,pekinese,0.0906465,True,papillon,0.0689569,True,,5177.0,28396.0,138.0,https://t.co/0Xxu71qeIV
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.       ,12,10,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,,3421.0,21342.0,121.0,https://t.co/wUnZnhtVJB
891689557279858688,This is Darla. She commenced a snooze mid meal.       happens to the best of us ,13,10,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,paper_towel,0.17027799999999998,False,labrador_retriever,0.168086,True,spatula,0.0408359,False,,7082.0,35836.0,79.0,https://t.co/tD36da7qLQ
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such.       #BarkWeek ",12,10,Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,0.555712,True,english_springer,0.22577,True,german_short-haired_pointer,0.175219,True,,7590.0,34279.0,138.0,https://t.co/AtUZn91f7f
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking.       (IG: tucker_marlo) #BarkWeek ,13,10,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,chesapeake_bay_retriever,0.425595,True,irish_terrier,0.116317,True,indian_elephant,0.07690219999999999,False,,2546.0,17243.0,138.0,https://t.co/kQ04fDDRmh
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it.       help Jax enjoy more things by clicking below

 ",13,10,Jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,appenzeller,0.34170300000000003,True,border_collie,0.199287,True,ice_lolly,0.193548,False,,1620.0,10064.0,140.0,https://t.co/Zr4hWfAs1H
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy.       ,13,10,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,pomeranian,0.566142,True,eskimo_dog,0.17840599999999998,True,pembroke,0.0765069,True,,15441.0,55295.0,118.0,https://t.co/v0nONBcwxq
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet.       #BarkWeek ,13,10,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,irish_terrier,0.487574,True,irish_setter,0.193054,True,chesapeake_bay_retriever,0.118184,True,,3554.0,23792.0,122.0,https://t.co/9TwLuAGH0b
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory.       so elegant much sophisticate ,14,10,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,pembroke,0.511319,True,cardigan,0.451038,True,chihuahua,0.0292482,True,doggo,5982.0,27119.0,133.0,https://t.co/t1bfwz5S2A
